        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
K1410_1_p1_b       -1.04     -2.6108     2.08513 pm     0.385632     3.12513 rad      8.10393
K1410_1_m1_a       0.036       0.036    0.011735 pm    0.0170126     67.4026 %        1.42629
K1410_1_m1_b        0.67      2.2408     1.30463 pm       1.2807    0.634634 rad     0.495535
 K1430_0_0_a        0.89        0.89     1.02177 pm    0.0176553     14.8052 %        7.46328
 K1430_0_0_b       -2.17   -0.599204    -2.30588 pm    0.0246138    0.135878 rad      5.52039
 K1430_2_0_a        4.66        4.66     2.70303 pm     0.106566      41.995 %         18.364
 K1430_2_0_b       -0.32      1.2508    0.165275 pm    0.0605741    0.485275 rad      8.01126
K1430_2_p1_a        4.65        4.65       4.081 pm     0.122917     12.2365 %        4.62913
K1430_2_p1_b       -3.05     -4.6208     3.12783 pm    0.0394713    0.105351 rad      2.66907
K1430_2_m1_a        1.26        1.26     1.57618 pm      0.15006     25.0933 %        2.10699
K1430_2_m1_b       -1.92   -0.349204    -1.89757 pm    0.0757139   0.0224283 rad     0.296224
 K1780_3_0_a        16.8        16.8     15.4495 pm       2.5884     8.03891 %       0.521764
 K1780_3_0_b       -1.43     -3.0008    -1.45597 pm     0.121342   0.0259699 rad     0.214022
K1780_3_p1_a        19.1        19.1    -24.7734 pm      1.94189     229.704 %        22.5932
K1780_3_p1_b        2.03      3.6008   -0.914599 pm     0.106624      2.9446 rad      27.6166
K1780_3_m1_a        10.2        10.2     6.70577 pm      2.37591     34.2572 %        1.47069
K1780_3_m1_b        1.55        1.55     1.07114 pm     0.347499     0.47886 rad      1.37802
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844      0.9284    0.800989 pm   0.00479106     5.09612 %        8.97741
 K892_1_p1_b        3.14      3.6636    -3.11581 pm    0.0168624   0.0273783 rad      1.62363
 K892_1_m1_a       0.196      0.1764    0.192729 pm   0.00693146     1.66864 %       0.471839
 K892_1_m1_b        -1.7     -2.2236    -1.54906 pm    0.0360622    0.150943 rad      4.18564
  K800_0_0_a        1.12       1.008      1.1388 pm    0.0172834     1.67849 %         1.0877
  K800_0_0_b         2.3      2.8236     1.81241 pm    0.0202505    0.487585 rad      24.0777
 K1410_1_0_a       0.119      0.1071    0.124414 pm   0.00761175     4.54982 %       0.711307
 K1410_1_0_b        0.81      1.3336     1.31743 pm    0.0942726    0.507428 rad      5.38256
K1410_1_p1_a       0.123      0.1107    0.088316 pm    0.0137572     28.1984 %        2.52116
K1410_1_p1_b       -1.04     -1.5636    -1.23693 pm     0.144875    0.196932 rad      1.35932
K1410_1_m1_a       0.036      0.0396  -0.0218157 pm    0.0145272     160.599 %        3.97981
K1410_1_m1_b        0.67      1.1936    -2.63541 pm     0.670307     2.97777 rad       4.4424
 K1430_0_0_a        0.89       0.979      1.1049 pm    0.0167882     24.1464 %        12.8008
 K1430_0_0_b       -2.17     -2.6936    -2.10299 pm    0.0213998   0.0670092 rad       3.1313
 K1430_2_0_a        4.66       5.126     4.30523 pm    0.0750976     7.61314 %        4.72415
 K1430_2_0_b       -0.32    0.203599   -0.280923 pm     0.023436   0.0390767 rad      1.66738
K1430_2_p1_a        4.65       4.185      4.2756 pm    0.0722892     8.05166 %        5.17923
K1430_2_p1_b       -3.05     -3.5736     -3.0452 pm     0.036299  0.00480419 rad      0.13235
K1430_2_m1_a        1.26       1.134     1.02352 pm     0.109698     18.7684 %        2.15575
K1430_2_m1_b       -1.92     -1.3964    -1.91865 pm     0.105663  0.00135469 rad    0.0128209
 K1780_3_0_a        16.8       18.48      21.077 pm      1.83866     25.4581 %        2.32613
 K1780_3_0_b       -1.43     -1.9536    -1.32118 pm    0.0931564    0.108824 rad      1.16818
K1780_3_p1_a        19.1       17.19     20.5475 pm      2.08565     7.57874 %       0.694046
K1780_3_p1_b        2.03      2.5536     1.98166 pm     0.127437   0.0483377 rad     0.379308
K1780_3_m1_a        10.2       11.22     12.0096 pm      2.38406     17.7407 %       0.759023
K1780_3_m1_b        1.55      2.0736     1.73072 pm     0.240834    0.180723 rad     0.750403
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844      0.9284    0.800989 pm   0.00479106     5.09612 %        8.97741
 K892_1_p1_b        3.14      3.6636    -3.11581 pm    0.0168624   0.0273783 rad      1.62363
 K892_1_m1_a       0.196      0.1764    0.192729 pm   0.00693146     1.66864 %       0.471839
 K892_1_m1_b        -1.7     -2.2236    -1.54906 pm    0.0360622    0.150943 rad      4.18564
  K800_0_0_a        1.12       1.008      1.1388 pm    0.0172834     1.67849 %         1.0877
  K800_0_0_b         2.3      2.8236     1.81241 pm    0.0202505    0.487585 rad      24.0777
 K1410_1_0_a       0.119      0.1071    0.124414 pm   0.00761175     4.54982 %       0.711307
 K1410_1_0_b        0.81      1.3336     1.31743 pm    0.0942726    0.507428 rad      5.38256
K1410_1_p1_a       0.123      0.1107    0.088316 pm    0.0137572     28.1984 %        2.52116
K1410_1_p1_b       -1.04     -1.5636    -1.23693 pm     0.144875    0.196932 rad      1.35932
K1410_1_m1_a       0.036      0.0396  -0.0218157 pm    0.0145272     160.599 %        3.97981
K1410_1_m1_b        0.67      1.1936    -2.63541 pm     0.670307     2.97777 rad       4.4424
 K1430_0_0_a        0.89       0.979      1.1049 pm    0.0167882     24.1464 %        12.8008
 K1430_0_0_b       -2.17     -2.6936    -2.10299 pm    0.0213998   0.0670092 rad       3.1313
 K1430_2_0_a        4.66       5.126     4.30523 pm    0.0750976     7.61314 %        4.72415
 K1430_2_0_b       -0.32    0.203599   -0.280923 pm     0.023436   0.0390767 rad      1.66738
K1430_2_p1_a        4.65       4.185      4.2756 pm    0.0722892     8.05166 %        5.17923
K1430_2_p1_b       -3.05     -3.5736     -3.0452 pm     0.036299  0.00480419 rad      0.13235
K1430_2_m1_a        1.26       1.134     1.02352 pm     0.109698     18.7684 %        2.15575
K1430_2_m1_b       -1.92     -1.3964    -1.91865 pm     0.105663  0.00135469 rad    0.0128209
 K1780_3_0_a        16.8       18.48      21.077 pm      1.83866     25.4581 %        2.32613
 K1780_3_0_b       -1.43     -1.9536    -1.32118 pm    0.0931564    0.108824 rad      1.16818
K1780_3_p1_a        19.1       17.19     20.5475 pm      2.08565     7.57874 %       0.694046
K1780_3_p1_b        2.03      2.5536     1.98166 pm     0.127437   0.0483377 rad     0.379308
K1780_3_m1_a        10.2       11.22     12.0096 pm      2.38406     17.7407 %       0.759023
K1780_3_m1_b        1.55      2.0736     1.73072 pm     0.240834    0.180723 rad     0.750403
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.832865     0.80099 pm   0.00435847     5.09598 %        9.86817
 K892_1_p1_b        3.14     3.01307    -3.11582 pm    0.0140612   0.0273669 rad      1.94626
 K892_1_m1_a       0.196     0.18166    0.192723 pm    0.0061939     1.67198 %       0.529083
 K892_1_m1_b        -1.7   -0.603231    -1.54906 pm    0.0338864     0.15094 rad      4.45429
  K800_0_0_a        1.12       1.008     1.13881 pm    0.0165526     1.67943 %        1.13635
  K800_0_0_b         2.3      3.8708      1.8124 pm    0.0204916    0.487603 rad      23.7953
 K1410_1_0_a       0.119      0.1071     0.12441 pm   0.00801729     4.54663 %       0.674853
 K1410_1_0_b        0.81      2.3808     1.31741 pm     0.091912    0.507409 rad       5.5206
K1410_1_p1_a       0.123      0.1107   0.0883172 pm    0.0116563     28.1974 %        2.97545
K1410_1_p1_b       -1.04     -2.6108    -1.23704 pm      0.15713    0.197043 rad      1.25401
K1410_1_m1_a       0.036      0.0396   0.0218317 pm    0.0149714     39.3565 %       0.946361
K1410_1_m1_b        0.67      2.2408    0.505455 pm     0.232998    0.164545 rad     0.706206
 K1430_0_0_a        0.89       0.979     1.10491 pm      0.01633     24.1475 %        13.1606
 K1430_0_0_b       -2.17     -3.7408    -2.10297 pm    0.0215309   0.0670298 rad       3.1132
 K1430_2_0_a        4.66       5.126     4.30514 pm    0.0737418      7.6151 %        4.81224
 K1430_2_0_b       -0.32      1.2508   -0.280924 pm    0.0225906   0.0390764 rad      1.72976
K1430_2_p1_a        4.65       4.185     4.27567 pm    0.0699743     8.05012 %        5.34955
K1430_2_p1_b       -3.05     -4.6208    -3.04521 pm    0.0353214  0.00478822 rad     0.135561
K1430_2_m1_a        1.26       1.134     1.02347 pm     0.102214     18.7724 %        2.31409
K1430_2_m1_b       -1.92   -0.349204    -1.91871 pm    0.0990271  0.00128831 rad    0.0130096
 K1780_3_0_a        16.8       18.48     21.0765 pm      1.83854     25.4553 %        2.32602
 K1780_3_0_b       -1.43     -3.0008    -1.32122 pm    0.0943105    0.108778 rad       1.1534
K1780_3_p1_a        19.1       17.19     20.5489 pm      1.92254     7.58611 %       0.753664
K1780_3_p1_b        2.03      3.6008     1.98161 pm     0.115229   0.0483946 rad     0.419987
K1780_3_m1_a        10.2       11.22      12.009 pm      2.28873     17.7351 %       0.790385
K1780_3_m1_b        1.55      3.1208     1.73047 pm     0.233066    0.180466 rad     0.774316
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.807391    0.800989 pm   0.00495428     5.09605 %        8.68152
 K892_1_p1_b        3.14     4.16702    -3.11581 pm     0.016734   0.0273711 rad      1.63565
 K892_1_m1_a       0.196     0.18851    0.192725 pm   0.00688045     1.67073 %       0.475933
 K892_1_m1_b        -1.7    -2.30842    -1.54907 pm    0.0344352    0.150931 rad      4.38304
  K800_0_0_a        1.12     1.22368     1.13879 pm     0.017433     1.67776 %        1.07789
  K800_0_0_b         2.3    0.790849     1.81239 pm    0.0194502     0.48761 rad      25.0697
 K1410_1_0_a       0.119    0.126618    0.124416 pm   0.00793188     4.55141 %       0.682837
 K1410_1_0_b        0.81     1.66693     1.31754 pm    0.0948658    0.507535 rad      5.35004
K1410_1_p1_a       0.123    0.115071   0.0883055 pm    0.0141255     28.2069 %        2.45616
K1410_1_p1_b       -1.04    0.179615    -1.23706 pm     0.155362    0.197065 rad      1.26842
K1410_1_m1_a       0.036   0.0391699   0.0218321 pm    0.0146889     39.3554 %       0.964535
K1410_1_m1_b        0.67     1.27188    0.506192 pm      0.63251    0.163808 rad      0.25898
 K1430_0_0_a        0.89    0.913313     1.10492 pm    0.0165604     24.1482 %        12.9778
 K1430_0_0_b       -2.17    -1.18365    -2.10296 pm    0.0217426   0.0670356 rad      3.08314
 K1430_2_0_a        4.66     4.77407      4.3052 pm      0.07087      7.6138 %         5.0064
 K1430_2_0_b       -0.32    -1.15788   -0.280914 pm    0.0228625   0.0390856 rad       1.7096
K1430_2_p1_a        4.65     4.54128     4.27565 pm    0.0748892     8.05048 %        4.99868
K1430_2_p1_b       -3.05    -3.34487     -3.0452 pm    0.0359325  0.00479564 rad     0.133463
K1430_2_m1_a        1.26     1.17394     1.02358 pm    0.0977312     18.7631 %        2.41904
K1430_2_m1_b       -1.92    -1.12399    -1.91869 pm     0.103028  0.00131068 rad    0.0127215
 K1780_3_0_a        16.8     18.2265     21.0778 pm      1.85923     25.4629 %        2.30083
 K1780_3_0_b       -1.43    -1.32134    -1.32116 pm    0.0895113    0.108835 rad      1.21588
K1780_3_p1_a        19.1     19.2715     20.5496 pm      2.11966      7.5893 %       0.683864
K1780_3_p1_b        2.03    0.936769     1.98154 pm      0.12051   0.0484605 rad     0.402128
K1780_3_m1_a        10.2     10.6085     12.0073 pm      2.42012     17.7184 %       0.746773
K1780_3_m1_b        1.55     1.67585     1.73034 pm     0.249765    0.180338 rad     0.722029
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844     0.92218      0.8009 pm    0.0020788     5.10667 %        20.7333
 K892_1_p1_b        3.14     2.91748    -3.11376 pm     0.008087   0.0294225 rad      3.63824
 K892_1_m1_a       0.196    0.203103     0.19508 pm   0.00364614    0.469322 %       0.252286
 K892_1_m1_b        -1.7    -1.31893    -1.54698 pm    0.0285858    0.153022 rad      5.35309
  K800_0_0_a        1.12     1.16824     1.13772 pm   0.00753897     1.58195 %        2.35017
  K800_0_0_b         2.3     1.90945     1.81431 pm   0.00752043    0.485687 rad      64.5824
 K1410_1_0_a       0.119    0.108142     0.12406 pm   0.00361766     4.25189 %        1.39863
 K1410_1_0_b        0.81    0.896646     1.32231 pm    0.0421328    0.512308 rad      12.1593
K1410_1_p1_a       0.123    0.128536   0.0866915 pm    0.0136054     29.5191 %        2.66869
K1410_1_p1_b       -1.04   -0.555071    -1.12907 pm     0.139347   0.0890691 rad     0.639188
K1410_1_m1_a       0.036   0.0380113  0.00228875 pm     0.125358     93.6424 %        0.26892
K1410_1_m1_b        0.67    0.181393     1.86546 pm      15000.7     1.19546 rad  7.96934e-05
 K1430_0_0_a        0.89    0.918929     1.10323 pm   0.00451777     23.9582 %        47.1976
 K1430_0_0_b       -2.17    -1.95829    -2.10661 pm   0.00581108   0.0633913 rad      10.9087
 K1430_2_0_a        4.66     4.73145     4.31816 pm    0.0321476     7.33558 %        10.6334
 K1430_2_0_b       -0.32   -0.281642   -0.281567 pm   0.00729747   0.0384335 rad      5.26668
K1430_2_p1_a        4.65     5.11329     4.29692 pm    0.0322191     7.59312 %        10.9587
K1430_2_p1_b       -3.05    -2.62749    -3.04222 pm    0.0146498  0.00777881 rad     0.530985
K1430_2_m1_a        1.26     1.22616     1.00742 pm    0.0537244     20.0458 %        4.70134
K1430_2_m1_b       -1.92    -2.38924    -1.91306 pm    0.0534048  0.00694341 rad     0.130015
 K1780_3_0_a        16.8     17.5659     21.0167 pm      0.88535     25.0993 %        4.76273
 K1780_3_0_b       -1.43   -0.993594    -1.32658 pm    0.0441177     0.10342 rad      2.34419
K1780_3_p1_a        19.1     17.8735     20.1447 pm     0.939967      5.4695 %         1.1114
K1780_3_p1_b        2.03     2.14683     1.98783 pm    0.0783223   0.0421747 rad     0.538477
K1780_3_m1_a        10.2     11.1945      12.559 pm       1.1591     23.1274 %         2.0352
K1780_3_m1_b        1.55     1.95383     1.73966 pm     0.118509    0.189656 rad      1.60036
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.799814    0.800986 pm   0.00496676     5.09645 %        8.66038
 K892_1_p1_b        3.14     2.93817    -3.11581 pm    0.0168536   0.0273759 rad      1.62434
 K892_1_m1_a       0.196    0.196529    0.192732 pm    0.0071082     1.66744 %       0.459777
 K892_1_m1_b        -1.7    -1.89823    -1.54905 pm    0.0347233    0.150954 rad      4.34734
  K800_0_0_a        1.12     1.22817      1.1388 pm    0.0177963     1.67886 %        1.05658
  K800_0_0_b         2.3     2.29508     1.81241 pm    0.0206871    0.487592 rad      23.5699
 K1410_1_0_a       0.119     0.11211    0.124409 pm   0.00811541     4.54528 %       0.666495
 K1410_1_0_b        0.81    0.941117     1.31744 pm    0.0976507     0.50744 rad      5.19648
K1410_1_p1_a       0.123    0.115229   0.0883323 pm      0.01436     28.1851 %        2.41418
K1410_1_p1_b       -1.04    -1.01559    -1.23692 pm     0.159572    0.196917 rad      1.23403
K1410_1_m1_a       0.036   0.0373334  -0.0218194 pm     0.015507     160.609 %         3.7286
K1410_1_m1_b        0.67    0.366721    -2.63659 pm     0.657174     2.97659 rad      4.52938
 K1430_0_0_a        0.89    0.967801      1.1049 pm    0.0168323     24.1456 %        12.7668
 K1430_0_0_b       -2.17    -1.94035    -2.10297 pm    0.0222713   0.0670311 rad      3.00976
 K1430_2_0_a        4.66     4.74927     4.30516 pm    0.0748838     7.61466 %        4.73859
 K1430_2_0_b       -0.32   -0.102223   -0.280921 pm    0.0234895   0.0390795 rad       1.6637
K1430_2_p1_a        4.65     4.37137     4.27569 pm    0.0780585     8.04959 %         4.7952
K1430_2_p1_b       -3.05    -2.79553    -3.04519 pm    0.0361932  0.00481084 rad     0.132921
K1430_2_m1_a        1.26     1.31976     1.02339 pm     0.109447      18.779 %        2.16191
K1430_2_m1_b       -1.92    -1.74124    -1.91863 pm     0.103285  0.00136877 rad    0.0132523
 K1780_3_0_a        16.8     16.3548     21.0782 pm      1.91164     25.4654 %        2.23797
 K1780_3_0_b       -1.43    -1.21124    -1.32123 pm    0.0923006    0.108772 rad      1.17845
K1780_3_p1_a        19.1     17.1976     20.5506 pm       2.1693     7.59455 %       0.668677
K1780_3_p1_b        2.03     2.19446     1.98167 pm     0.122089   0.0483326 rad      0.39588
K1780_3_m1_a        10.2     10.4878     12.0074 pm        2.483     17.7199 %        0.72792
K1780_3_m1_b        1.55     1.87162     1.73062 pm     0.250826    0.180623 rad     0.720116
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.911251     0.80099 pm   0.00496551     5.09598 %        8.66177
 K892_1_p1_b        3.14     2.79934    -3.11582 pm    0.0168484   0.0273671 rad      1.62432
 K892_1_m1_a       0.196    0.190405    0.192727 pm   0.00710677     1.67007 %       0.460595
 K892_1_m1_b        -1.7    -1.75258    -1.54908 pm    0.0347217    0.150923 rad      4.34666
  K800_0_0_a        1.12     1.05471     1.13882 pm    0.0177981     1.68036 %        1.05741
  K800_0_0_b         2.3     2.04029     1.81241 pm    0.0206905    0.487591 rad       23.566
 K1410_1_0_a       0.119    0.126946    0.124413 pm   0.00812044     4.54899 %       0.666627
 K1410_1_0_b        0.81     1.25485      1.3174 pm    0.0975704    0.507401 rad      5.20036
K1410_1_p1_a       0.123    0.117816  -0.0883062 pm    0.0142526     171.794 %        14.8258
K1410_1_p1_b       -1.04   -0.563808     1.90451 pm     0.158145     2.94451 rad      18.6191
K1410_1_m1_a       0.036   0.0386809   0.0218244 pm    0.0154497     39.3766 %        0.91753
K1410_1_m1_b        0.67     1.13865     0.50653 pm     0.656657     0.16347 rad     0.248943
 K1430_0_0_a        0.89    0.943554      1.1049 pm    0.0168362     24.1462 %        12.7643
 K1430_0_0_b       -2.17    -2.25228    -2.10298 pm    0.0222736   0.0670227 rad      3.00906
 K1430_2_0_a        4.66     4.58727     4.30523 pm    0.0748503     7.61306 %        4.73971
 K1430_2_0_b       -0.32   0.0926725   -0.280932 pm    0.0234698   0.0390677 rad      1.66459
K1430_2_p1_a        4.65      5.1118     4.27558 pm    0.0779044     8.05208 %        4.80617
K1430_2_p1_b       -3.05     -2.8915    -3.04522 pm    0.0362056  0.00477588 rad      0.13191
K1430_2_m1_a        1.26     1.26561      1.0237 pm      0.10943     18.7541 %         2.1594
K1430_2_m1_b       -1.92    -2.06852    -1.91867 pm     0.103282  0.00133214 rad    0.0128982
 K1780_3_0_a        16.8     15.6247      21.076 pm      1.91168     25.4526 %        2.23679
 K1780_3_0_b       -1.43    -1.24486    -1.32123 pm    0.0923076    0.108767 rad      1.17831
K1780_3_p1_a        19.1     18.6794     20.5481 pm       2.1691      7.5816 %       0.667597
K1780_3_p1_b        2.03      2.2122     1.98155 pm     0.122122   0.0484498 rad     0.396734
K1780_3_m1_a        10.2     9.90816     12.0091 pm      2.48211     17.7361 %       0.728849
K1780_3_m1_b        1.55     1.44247     1.73047 pm     0.250801    0.180474 rad      0.71959
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.916732    0.800984 pm    0.0048049     5.09674 %        8.95263
 K892_1_p1_b        3.14     3.12799    -3.11578 pm    0.0159979    0.027401 rad      1.71279
 K892_1_m1_a       0.196    0.192015    0.192731 pm   0.00693114     1.66787 %       0.471642
 K892_1_m1_b        -1.7    -2.10338    -1.54902 pm    0.0338856    0.150979 rad      4.45556
  K800_0_0_a        1.12     1.03926     1.13878 pm    0.0155562     1.67645 %        1.20699
  K800_0_0_b         2.3     2.51019     1.81234 pm    0.0191329    0.487662 rad      25.4882
 K1410_1_0_a       0.119    0.115711     0.12441 pm   0.00785255     4.54661 %       0.689008
 K1410_1_0_b        0.81    0.326389     1.31765 pm    0.0875406    0.507654 rad      5.79907
K1410_1_p1_a       0.123    0.119544   0.0883328 pm    0.0127949     28.1847 %        2.70944
K1410_1_p1_b       -1.04   -0.655111    -1.23744 pm     0.144312    0.197443 rad      1.36817
K1410_1_m1_a       0.036   0.0372238  -0.0218628 pm    0.0143248      160.73 %        4.03934
K1410_1_m1_b        0.67    0.379516    -2.63563 pm     0.654006     2.97756 rad       4.5528
 K1430_0_0_a        0.89    0.965549     1.10498 pm    0.0133246     24.1546 %        16.1337
 K1430_0_0_b       -2.17     -1.6965    -2.10287 pm    0.0136014     0.06713 rad      4.93552
